WantedVehMake,WantedVehModel,WantedVehicleTrim,WantedVehYear,WantedCar,,ID,StoreID,ProspectStatus,ProspectSubStatus
Toyota,Tundra 4WD,SR5 Double Cab 6.5' Bed 5.7L (Natl),2018,2018 Toyota Tundra 4WD,,36056616,58,Active,Sold
Toyota,Tacoma,2WD Double Cab V6 AT PreRunner (Natl),2014,2014 Toyota Tacoma,,36056072,58,Active,Sold
Toyota,Sienna,5dr 7-Pass Van V6 XLE FWD (Natl),2011,2011 Toyota Sienna,,36055548,58,Active,Lost
,,,,  ,,36052926,20330,Bad,Duplicate lead
Mercedes-Benz,ML350,ML350 SUV,2007,2007 Mercedes-Benz ML350,,36097586,184,Active,Sold
Porsche,Macan,Turbo,2021,2021 Porsche Macan,,36093021,184,Active,Demo Vehicle
Chevrolet,Equinox,FWD 4dr LT w/1LT,2011,2011 Chevrolet Equinox,,36092490,58,Active,Lost
Porsche,718 Cayman,GTS,2021,2021 Porsche 718 Cayman,,36092184,184,Active,Write Up
Porsche,Cayman,2dr Cpe S,2006,2006 Porsche Cayman,,36091627,184,Active,Up/Contacted
Chevrolet,Sonic,5dr HB Manual LT,2015,2015 Chevrolet Sonic,,36089137,58,Active,Sold
Toyota,Tundra 4WD,SR5 Double Cab 6.5' Bed 5.7L (Natl),2020,2020 Toyota Tundra 4WD,,36087215,58,Active,Sold
Chevrolet,Malibu,4dr Sdn LT w/2LT,2016,2016 Chevrolet Malibu,,36084304,58,Active,Sold
,,,,  ,,36082073,769,Sold,Delivered
Toyota,RAV4,AWD 4dr Limited (Natl),2013,2013 Toyota RAV4,,36079760,58,Active,Lost
,,,,  ,,36079743,301,Bad,Duplicate lead
Chevrolet,Malibu,4dr Sdn LT w/2LT,2016,2016 Chevrolet Malibu,,36079480,58,Active,Sold
,,,,  ,,36078466,20330,Sold,Delivered
,,,,  ,,36076221,766,Bad,Duplicate lead
Tesla,Model S,4dr Sdn AWD P90D,2016,2016 Tesla Model S,,36127826,184,Active,Lost
Toyota,4Runner,SR5 4WD (Natl),2021,2021 Toyota 4Runner,,36126431,58,Active,Sold
,,,,  ,,36125361,58,Active,Lost
Porsche,Macan,Turbo AWD w/Performance Pkg,2018,2018 Porsche Macan,,36124818,184,Active,Write Up
Toyota,Tacoma 4WD,TRD Off Road Double Cab 6' Bed V6 AT (Natl),2021,2021 Toyota Tacoma 4WD,,36123762,58,Active,Sold
Hyundai,Genesis,4dr Sdn V8,2011,2011 Hyundai Genesis,,36123699,183,Active,Sold
Porsche,Macan,,2021,2021 Porsche Macan,,36122993,184,Active,Write Up
